neighbourhood_group,neighbourhood,avg_price
Staten Island,Fort Wadsworth,799.0
Staten Island,Woodrow,700.0
Manhattan,Tribeca,355.3672316384181
Brooklyn,Sea Gate,316.14285714285717
Manhattan,Flatiron District,298.725
Staten Island,Prince's Bay,296.75
Bronx,Riverdale,287.3636363636364
Manhattan,NoHo,282.94871794871796
Queens,Neponsit,274.6666666666667
Manhattan,Midtown,270.51974110032364
Manhattan,SoHo,263.31564245810057
Staten Island,Willowbrook,249.0
Manhattan,West Village,247.32291666666666
Manhattan,Theater District,232.50347222222223
Manhattan,Chelsea,228.03324348607367
Manhattan,Battery Park City,227.0857142857143
Manhattan,Greenwich Village,225.75
Manhattan,Financial District,220.4731182795699
Manhattan,Murray Hill,217.52685950413223
Queens,Breezy Point,213.33333333333334
Manhattan,Gramercy,204.8284023668639
Manhattan,Nolita,203.32411067193675
Brooklyn,Brooklyn Heights,201.27272727272728
Brooklyn,Cobble Hill,200.2929292929293
Manhattan,Hell's Kitchen,198.36874361593462
Brooklyn,DUMBO,196.30555555555554
Manhattan,Kips Bay,194.88297872340425
Manhattan,Civic Center,189.03846153846155
Brooklyn,Vinegar Hill,187.1764705882353
Manhattan,Upper West Side,183.99594114662608
Manhattan,Little Italy,183.62809917355372
Queens,Jamaica Estates,182.94736842105263
Brooklyn,Mill Basin,179.75
Manhattan,East Village,177.47814355099837
Manhattan,Upper East Side,176.02447163515018
Brooklyn,Boerum Hill,174.42372881355934
Brooklyn,Carroll Gardens,173.3519313304721
Queens,Belle Harbor,171.5
Brooklyn,Park Slope,171.2094861660079
Staten Island,Todt Hill,169.0
Manhattan,Lower East Side,163.94401756311746
Queens,Arverne,162.67532467532467
Bronx,City Island,161.88888888888889
Queens,Far Rockaway,159.75862068965517
Staten Island,Grymes Hill,159.14285714285714
Manhattan,Chinatown,159.0461956521739
Staten Island,Lighthouse Hill,157.5
Brooklyn,Columbia St,156.26190476190476
Brooklyn,Gowanus,155.8259109311741
Bronx,Spuyten Duyvil,154.75
Brooklyn,Prospect Heights,153.1232492997199
Staten Island,Shore Acres,152.71428571428572
Brooklyn,Clinton Hill,151.8583916083916
Brooklyn,Navy Yard,151.64285714285714
Brooklyn,Downtown Brooklyn,150.34939759036143
Manhattan,Stuyvesant Town,150.16216216216216
Brooklyn,Fort Greene,150.15337423312883
Brooklyn,South Slope,146.72535211267606
Staten Island,Tottenville,144.85714285714286
Brooklyn,Red Hook,143.45569620253164
Queens,Bay Terrace,142.0
Bronx,Eastchester,141.69230769230768
Staten Island,Eltingville,141.66666666666666
Brooklyn,Williamsburg,141.11763204899208
Staten Island,Castleton Corners,139.75
Brooklyn,Windsor Terrace,138.9936305732484
Bronx,Unionport,137.14285714285714
Brooklyn,Greenpoint,136.57091561938958
Queens,Holliswood,135.75
Queens,Rockaway Beach,132.17857142857142
Queens,Jamaica Hills,132.125
Manhattan,Two Bridges,127.06944444444444
Queens,Long Island City,124.38919925512104
Brooklyn,Coney Island,124.3529411764706
Manhattan,East Harlem,122.99015219337511
Bronx,Westchester Square,122.4
Bronx,West Farms,122.0
Staten Island,Huguenot,118.33333333333333
Bronx,Van Nest,117.0
Staten Island,Randall Manor,116.36842105263158
Brooklyn,Flatlands,115.71084337349397
Queens,Howard Beach,115.4
Manhattan,Harlem,115.04176072234763
Staten Island,Arrochar,115.0
Staten Island,St. George,113.97916666666667
Manhattan,Morningside Heights,113.6242774566474
Brooklyn,Bay Ridge,113.45390070921985
Bronx,Clason Point,112.76190476190476
Queens,Kew Gardens Hills,112.3076923076923
Staten Island,Rosebank,111.85714285714286
Queens,Bayside,111.76923076923077
Queens,Forest Hills,110.25
Brooklyn,Crown Heights,110.0460358056266
Queens,Middle Village,109.64516129032258
Queens,Whitestone,107.54545454545455
Brooklyn,Sunset Park,107.01282051282051
Brooklyn,Bergen Beach,106.7
Brooklyn,Prospect-Lefferts Gardens,105.57196261682243
Manhattan,Roosevelt Island,105.45454545454545
Bronx,Pelham Bay,105.0
Brooklyn,Canarsie,104.421768707483
Queens,Astoria,103.75222222222222
Brooklyn,Manhattan Beach,103.5
Brooklyn,Bedford-Stuyvesant,103.23261455525606
Brooklyn,Brighton Beach,102.58666666666667
Staten Island,"Bay Terrace, Staten Island",102.5
Queens,Briarwood,102.28571428571429
Staten Island,New Brighton,101.8
Queens,St. Albans,100.89473684210526
Staten Island,Great Kills,100.6
Staten Island,Howland Hook,100.0
Queens,Fresh Meadows,99.5
Queens,Bellerose,99.35714285714286
Staten Island,Stapleton,98.96296296296296
Brooklyn,Sheepshead Bay,98.79268292682927
Brooklyn,Cypress Hills,98.05185185185185
Bronx,Williamsbridge,96.875
Queens,Laurelton,95.33333333333333
Queens,Jamaica,95.19047619047619
Queens,Ditmars Steinway,95.05825242718447
Queens,Edgemere,94.72727272727273
Staten Island,Mariners Harbor,94.625
Bronx,East Morrisania,94.44444444444444
Queens,Springfield Gardens,94.23529411764706
Brooklyn,Fort Hamilton,94.0
Bronx,Pelham Gardens,93.96428571428571
Brooklyn,Dyker Heights,93.41666666666667
Brooklyn,Kensington,92.92
Bronx,Longwood,91.96774193548387
Staten Island,Midland Beach,91.83333333333333
Brooklyn,Flatbush,91.49436392914654
Queens,Flushing,91.48591549295774
Queens,Glendale,91.07407407407408
Bronx,Throgs Neck,91.04166666666667
Brooklyn,East Flatbush,90.994
Staten Island,South Beach,90.5
Staten Island,Port Richmond,90.11111111111111
Manhattan,Washington Heights,89.44827586206897
Manhattan,Marble Hill,89.16666666666667
Manhattan,Inwood,88.97222222222223
Bronx,Mott Haven,88.91666666666667
Queens,Hollis,88.64285714285714
Queens,Kew Gardens,88.375
Queens,College Point,88.0
Bronx,Claremont Village,87.60714285714286
Bronx,Allerton,87.5952380952381
Queens,Bayswater,87.47058823529412
Queens,Richmond Hill,87.13829787234043
Bronx,Concourse,86.18
Bronx,Wakefield,85.62
Brooklyn,East New York,85.5045871559633
Queens,Ozone Park,85.43548387096774
Queens,Woodside,85.1063829787234
Staten Island,Clifton,84.93333333333334
Queens,Sunnyside,84.92011019283747
Brooklyn,Bushwick,84.36190089358246
Queens,Rego Park,84.05660377358491
Queens,Queens Village,84.01666666666667
Queens,Maspeth,83.85454545454546
Bronx,Morrisania,83.83333333333333
Bronx,Melrose,83.3
Queens,Douglaston,82.75
Queens,South Ozone Park,82.45
Bronx,Edenwald,82.0
Brooklyn,Bath Beach,81.76470588235294
Queens,Cambria Heights,81.73076923076923
Queens,East Elmhurst,81.26486486486486
Staten Island,Oakwood,81.2
Queens,Jackson Heights,81.02688172043011
Queens,Elmhurst,80.67510548523207
Staten Island,West Brighton,80.55555555555556
Bronx,Port Morris,80.5
Brooklyn,Midwood,80.46788990825688
Brooklyn,Gravesend,79.98529411764706
Bronx,North Riverdale,79.9
Staten Island,Dongan Hills,79.42857142857143
Staten Island,Richmondtown,78.0
Bronx,Kingsbridge,77.97142857142858
Bronx,Mount Hope,77.8
Bronx,Morris Heights,77.76470588235294
Bronx,Belmont,77.625
Bronx,Co-op City,77.5
Queens,Ridgewood,77.28368794326241
Queens,Rosedale,76.86440677966101
Brooklyn,Brownsville,76.50819672131148
Staten Island,Tompkinsville,76.19047619047619
Brooklyn,Bensonhurst,76.06666666666666
Staten Island,New Springville,76.0
Bronx,Norwood,75.70967741935483
Bronx,Baychester,75.42857142857143
Queens,Little Neck,75.2
Bronx,Fieldston,75.08333333333333
Staten Island,Rossville,75.0
Bronx,Concourse Village,73.78125
Bronx,Highbridge,72.14814814814815
Staten Island,Graniteville,72.0
Staten Island,Westerleigh,71.5
Staten Island,Silver Lake,70.0
Bronx,Schuylerville,70.0
Bronx,Fordham,69.73015873015873
Bronx,University Heights,69.57142857142857
Bronx,Parkchester,69.46153846153847
Bronx,Morris Park,69.4
Staten Island,Emerson Hill,68.2
Queens,Woodhaven,67.4090909090909
Staten Island,Arden Heights,67.25
Bronx,Olinville,66.25
Brooklyn,Borough Park,63.1764705882353
