neighbourhood_group,year_month,reviews
Bronx,2014-08,1
Bronx,2014-09,11
Bronx,2015-01,1
Bronx,2015-02,2
Bronx,2015-08,1
Bronx,2015-10,2
Bronx,2015-12,11
Bronx,2016-01,1
Bronx,2016-03,11
Bronx,2016-05,2
Bronx,2016-06,2
Bronx,2016-07,7
Bronx,2016-08,15
Bronx,2016-09,6
Bronx,2016-10,2
Bronx,2016-11,11
Bronx,2016-12,9
Bronx,2017-01,69
Bronx,2017-02,51
Bronx,2017-04,16
Bronx,2017-05,12
Bronx,2017-06,17
Bronx,2017-07,6
Bronx,2017-08,26
Bronx,2017-09,29
Bronx,2017-10,40
Bronx,2017-11,90
Bronx,2017-12,105
Bronx,2018-01,106
Bronx,2018-02,38
Bronx,2018-03,30
Bronx,2018-04,4
Bronx,2018-05,31
Bronx,2018-06,147
Bronx,2018-07,136
Bronx,2018-08,148
Bronx,2018-09,165
Bronx,2018-10,213
Bronx,2018-11,162
Bronx,2018-12,331
Bronx,2019-01,641
Bronx,2019-02,64
Bronx,2019-03,188
Bronx,2019-04,442
Bronx,2019-05,2483
Bronx,2019-06,16745
Bronx,2019-07,5686
Brooklyn,2011-03,1
Brooklyn,2011-04,14
Brooklyn,2011-05,2
Brooklyn,2011-09,9
Brooklyn,2011-12,9
Brooklyn,2012-01,1
Brooklyn,2012-05,2
Brooklyn,2012-07,2
Brooklyn,2012-08,2
Brooklyn,2012-09,33
Brooklyn,2012-12,6
Brooklyn,2013-01,5
Brooklyn,2013-03,2
Brooklyn,2013-04,1
Brooklyn,2013-05,23
Brooklyn,2013-06,1
Brooklyn,2013-07,4
Brooklyn,2013-08,2
Brooklyn,2013-09,14
Brooklyn,2013-11,19
Brooklyn,2013-12,24
Brooklyn,2014-01,28
Brooklyn,2014-02,25
Brooklyn,2014-03,2
Brooklyn,2014-04,19
Brooklyn,2014-05,66
Brooklyn,2014-06,66
Brooklyn,2014-07,27
Brooklyn,2014-08,42
Brooklyn,2014-09,12
Brooklyn,2014-10,72
Brooklyn,2014-11,19
Brooklyn,2014-12,24
Brooklyn,2015-01,85
Brooklyn,2015-02,48
Brooklyn,2015-03,16
Brooklyn,2015-04,29
Brooklyn,2015-05,126
Brooklyn,2015-06,115
Brooklyn,2015-07,120
Brooklyn,2015-08,300
Brooklyn,2015-09,328
Brooklyn,2015-10,473
Brooklyn,2015-11,275
Brooklyn,2015-12,330
Brooklyn,2016-01,540
Brooklyn,2016-02,153
Brooklyn,2016-03,165
Brooklyn,2016-04,229
Brooklyn,2016-05,562
Brooklyn,2016-06,495
Brooklyn,2016-07,800
Brooklyn,2016-08,624
Brooklyn,2016-09,834
Brooklyn,2016-10,986
Brooklyn,2016-11,704
Brooklyn,2016-12,462
Brooklyn,2017-01,1196
Brooklyn,2017-02,169
Brooklyn,2017-03,359
Brooklyn,2017-04,723
Brooklyn,2017-05,1234
Brooklyn,2017-06,779
Brooklyn,2017-07,1227
Brooklyn,2017-08,1397
Brooklyn,2017-09,1376
Brooklyn,2017-10,1091
Brooklyn,2017-11,1115
Brooklyn,2017-12,2085
Brooklyn,2018-01,2345
Brooklyn,2018-02,455
Brooklyn,2018-03,1136
Brooklyn,2018-04,1555
Brooklyn,2018-05,1633
Brooklyn,2018-06,1985
Brooklyn,2018-07,2578
Brooklyn,2018-08,3007
Brooklyn,2018-09,3235
Brooklyn,2018-10,4152
Brooklyn,2018-11,2912
Brooklyn,2018-12,5351
Brooklyn,2019-01,9317
Brooklyn,2019-02,3539
Brooklyn,2019-03,4618
Brooklyn,2019-04,10917
Brooklyn,2019-05,36655
Brooklyn,2019-06,267704
Brooklyn,2019-07,101030
Manhattan,2011-12,25
Manhattan,2012-01,1
Manhattan,2012-06,8
Manhattan,2012-08,31
Manhattan,2012-09,8
Manhattan,2012-10,1
Manhattan,2012-11,69
Manhattan,2012-12,8
Manhattan,2013-01,3
Manhattan,2013-03,11
Manhattan,2013-04,10
